,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
65,51 Peg b,51 Peg,Gaia DR2 2835207319109249920,0,1,1,Radial Velocity,1995,Haute-Provence Observatory,Published Confirmed,0,<a refstr=NAEF_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...414..351N/abstract target=ref> Naef et al. 2004 </a>,4.23077,0.052,,,,0,<a refstr=NAEF_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...414..351N/abstract target=ref> Naef et al. 2004 </a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,216.4603396,207.363,62.094,15.4614,5.45309,3.911,5.28647,21/08/2014,2004-01,21/08/2014
66,51 Peg b,51 Peg,Gaia DR2 2835207319109249920,0,1,1,Radial Velocity,1995,Haute-Provence Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,4.2307969,0.05235,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,,5760.76,1.19,1.07,0.206,[Fe/H],4.32,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,216.4603396,207.363,62.094,15.4614,5.45309,3.911,5.28647,9/05/2022,2021-05,9/05/2022
67,51 Peg b,51 Peg,Gaia DR2 2835207319109249920,1,1,1,Radial Velocity,1995,Haute-Provence Observatory,Published Confirmed,0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,4.230785,0.0527,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5758.0,1.18,1.03,0.18,[M/H],4.31,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,216.4603396,207.363,62.094,15.4614,5.45309,3.911,5.28647,14/05/2014,2006-07,14/05/2014
68,51 Peg b,51 Peg,Gaia DR2 2835207319109249920,0,1,1,Radial Velocity,1995,Haute-Provence Observatory,Published Confirmed,0,<a refstr=MARTINS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A.134M/abstract target=ref>Martins et al. 2015</a>,4.231,0.052,,,0.46,0,<a refstr=MARTINS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A.134M/abstract target=ref>Martins et al. 2015</a>,,,,1.04,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,216.4603396,207.363,62.094,15.4614,5.45309,3.911,5.28647,26/08/2015,2015-04,27/08/2015
102,55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,1,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,0.01544,1.875,0.167,0.02514,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,0.94,0.91,0.35,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2018-10,11/02/2021
103,55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=WRIGHT_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...693.1084W/abstract target=ref> Wright et al. 2009 </a>,2.79674,0.0377,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,0.96,0.9,0.35,[M/H],4.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2009-03,21/08/2014
106,55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,0.7365445,0.01583,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5317.89,0.96,0.97,0.383,[Fe/H],4.46,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,9/05/2022,2021-07,9/05/2022
107,55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=WINN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1104.5230W/abstract target=ref> Winn et al. 2011 </a>,0.73654,0.01583,2.0,0.178,0.027,0,<a refstr=WINN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1104.5230W/abstract target=ref> Winn et al. 2011 </a>,G8 V,,0.94,0.96,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2011-08,14/05/2014
108,55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,0.7365515,0.015691,,,0.02561,0,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,,,,0.95,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2015-01,29/10/2014
110,55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=ENDL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...759...19E/abstract target=ref> Endl et al. 2012 </a>,0.736546,0.01583,2.173,0.194,0.026,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,0.96,0.9,0.35,[M/H],4.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2012-11,16/05/2014
112,55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,0.7365437,0.01544,2.08,0.186,0.02457,0,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,,5234.0,0.94,0.91,0.31,[Fe/H],4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2011-09,3/12/2015
113,55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,2.808,0.038,,,,0,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,,,,0.95,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2004-10,13/10/2016
114,55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=NELSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441..442N/abstract target=ref> Nelson et al. 2014</a>,0.7365478,0.015439,,,0.02547,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,0.96,0.9,0.35,[M/H],4.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2014-06,21/08/2014
115,55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=DEMORY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2018D/abstract target=ref>Demory et al. 2016</a>,,0.01544,1.92,0.171,0.02542,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,0.96,0.9,0.35,[M/H],4.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2016-01,21/01/2016
